Index,Content
2-2,"(1) Når andre enn arbeidsgivers egne arbeidstakere, herunder innleide arbeidstakere eller selvstendige, utfører arbeidsoppgaver i tilknytning til arbeidsgivers aktivitet eller innretning, skal arbeidsgiver: a. sørge for at egen virksomhet er innrettet og egne arbeidstakeres arbeid er ordnet og blir utført på en slik måte at også andre enn egne arbeidstakere er sikret et fullt forsvarlig arbeidsmiljø, b. samarbeide med andre arbeidsgivere for å sikre et fullt forsvarlig arbeidsmiljø, c. sørge for at innleid arbeidstakers arbeidstid er i samsvar med bestemmelsene i kapittel 10. (2) Hovedbedriften skal ha ansvaret for samordningen av de enkelte virksomheters helse-, miljø- og sikkerhetsarbeid. Dersom det samtidig sysselsettes mer enn 10 arbeidstakere, og ingen virksomhet kan regnes som hovedbedrift, skal det skriftlig avtales hvem som skal ha ansvaret for samordningen. Kommer slik avtale ikke i stand, skal det meldes til Arbeidstilsynet som bestemmer hvem som skal ha ansvaret for samordningen. (3) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av arbeidsgivers plikter etter denne paragraf. Endret ved lover 15 des 2006 nr. 69 (ikr. 1 jan 2007 iflg. res. 15 des 2006 nr. 1406), 22 juni 2012 nr. 33 (ikr. 1 jan 2013 iflg. res. 22 juni 2012 nr. 607). Endres ved lov 17 mars 2023 nr. 3 (i kraft 1 jan 2024 iflg. res. 17 mars 2023 nr. 341). "
2-3,"(1) Arbeidstaker skal medvirke ved utforming, gjennomføring og oppfølging av virksomhetens systematiske helse-, miljø- og sikkerhetsarbeid. Arbeidstaker skal delta i det organiserte verne- og miljøarbeidet i virksomheten og skal aktivt medvirke ved gjennomføring av de tiltak som blir satt i verk for å skape et godt og sikkert arbeidsmiljø. (2) Arbeidstaker skal: a. bruke påbudt verneutstyr, vise aktsomhet og ellers medvirke til å hindre ulykker og helseskader, b. straks underrette arbeidsgiver og verneombudet og i nødvendig utstrekning andre arbeidstakere når arbeidstakeren blir oppmerksom på feil eller mangler som kan medføre fare for liv eller helse, og vedkommende ikke selv kan rette på forholdet, c. avbryte arbeidet dersom arbeidstaker mener at det ikke kan fortsette uten å medføre fare for liv eller helse, d. sørge for at arbeidsgiver eller verneombudet blir underrettet så snart arbeidstaker blir kjent med at det forekommer trakassering eller diskriminering på arbeidsplassen, e. melde fra til arbeidsgiver dersom arbeidstaker blir skadet i arbeidet eller pådrar seg sykdom som arbeidstaker mener har sin grunn i arbeidet eller forholdene på arbeidsstedet, f. medvirke ved utarbeiding og gjennomføring av oppfølgingsplaner ved helt eller delvis fravær fra arbeidet på grunn av ulykke, sykdom, slitasje eller lignende, g. delta i dialogmøte etter innkalling fra arbeidsgiver, jf. § 4-6 fjerde ledd. h. rette seg etter påbud fra Arbeidstilsynet. (3) Arbeidstaker som har til oppgave å lede eller kontrollere andre arbeidstakere, skal påse at hensynet til sikkerhet og helse blir ivaretatt under planleggingen og utførelsen av de arbeidsoppgaver som hører under eget ansvarsområde. Endret ved lov 23 feb 2007 nr. 10 (ikr. 1 mars 2007). "
2-4,"Endret ved lov 1 des 2006 nr. 64 (ikr. 1 jan 2007 iflg. res. 1 des 2006 nr. 1324), opphevet ved lov 16 juni 2017 nr. 42 (ikr. 1 juli 2017 iflg. res. 16 juni 2017 nr. 752). "
2-5,"Kapitlet tilføyd ved lov 16 juni 2017 nr. 42 (ikr. 1 juli 2017 iflg. res. 16 juni 2017 nr. 752), endret ved lov 21 juni 2019 nr. 24 (i kraft 1 jan 2020 iflg. res. 21 juni 2019 nr. 806). "
2 A-1,"(1) Arbeidstaker har rett til å varsle om kritikkverdige forhold i arbeidsgivers virksomhet. Innleid arbeidstaker har også rett til å varsle om kritikkverdige forhold i virksomheten til innleier. (2) Med kritikkverdige forhold menes forhold som er i strid med rettsregler, skriftlige etiske retningslinjer i virksomheten eller etiske normer som det er bred tilslutning til i samfunnet, for eksempel forhold som kan innebære a. fare for liv eller helse b. fare for klima eller miljø c. korrupsjon eller annen økonomisk kriminalitet d. myndighetsmisbruk e. uforsvarlig arbeidsmiljø f. brudd på personopplysningssikkerheten. (3) Ytring om forhold som kun gjelder arbeidstakers eget arbeidsforhold regnes ikke som varsling etter kapitlet her, med mindre forholdet omfattes av andre ledd. "
2 A-2,"(1) Arbeidstaker kan alltid varsle internt a. til arbeidsgiver eller en representant for arbeidsgiver b. i samsvar med virksomhetens rutiner for varsling c. i samsvar med varslingsplikt d. via verneombud, tillitsvalgt eller advokat. (2) Arbeidstaker kan alltid varsle eksternt til en offentlig tilsynsmyndighet eller en annen offentlig myndighet. (3) Arbeidstaker kan varsle eksternt til media eller offentligheten for øvrig dersom a. arbeidstaker er i aktsom god tro om innholdet i varselet, b. varselet gjelder kritikkverdige forhold som har allmenn interesse, og c. arbeidstaker først har varslet internt, eller har grunn til å tro at intern varsling ikke vil være hensiktsmessig. (4) Arbeidsgiver har bevisbyrden for at varsling har skjedd i strid med §§ 2 A-1 og 2 A-2. "
2 A-3,"(1) Når det er varslet om kritikkverdige forhold i virksomheten, skal arbeidsgiver sørge for at varselet innen rimelig tid blir tilstrekkelig undersøkt. (2) Arbeidsgiver skal særlig påse at den som har varslet, har et fullt forsvarlig arbeidsmiljø. Dersom det er nødvendig, skal arbeidsgiver sørge for tiltak som er egnet til å forebygge gjengjeldelse. "
2 A-4,"(1) Gjengjeldelse mot arbeidstaker som varsler i samsvar med §§ 2 A-1 og 2 A-2, er forbudt. Overfor innleide arbeidstakere gjelder forbudet både for arbeidsgiver og innleier. (2) Med gjengjeldelse menes enhver ugunstig handling, praksis eller unnlatelse som er en følge av eller en reaksjon på at arbeidstaker har varslet, for eksempel a. trusler, trakassering, usaklig forskjellsbehandling, sosial ekskludering eller annen utilbørlig opptreden b. advarsel, endring i arbeidsoppgaver, omplassering eller degradering c. suspensjon, oppsigelse, avskjed eller ordensstraff. (3) Første ledd gjelder tilsvarende ved gjengjeldelse mot arbeidstaker som gir til kjenne at retten til å varsle vil bli brukt, for eksempel ved å fremskaffe opplysninger. (4) Dersom arbeidstaker legger frem opplysninger som gir grunn til å tro at det har funnet sted gjengjeldelse, må arbeidsgiver sannsynliggjøre at det likevel ikke har funnet sted slik gjengjeldelse. "
2 A-5,"(1) Arbeidstaker kan ved brudd på forbudet mot gjengjeldelse kreve oppreisning og erstatning uten hensyn til arbeidsgivers eller innleiers skyld. (2) Oppreisningen skal fastsettes til det som er rimelig ut fra partenes forhold, gjengjeldelsens art og alvorlighetsgrad og omstendighetene for øvrig. Erstatningen skal dekke økonomisk tap som følge av gjengjeldelsen. "
2 A-6,"(1) Virksomheter som jevnlig sysselsetter minst fem arbeidstakere, plikter å ha rutiner for intern varsling. Også virksomheter med færre ansatte skal ha slike rutiner dersom forholdene i virksomheten tilsier det. (2) Rutinene skal utarbeides i tilknytning til virksomhetens systematiske helse-, miljø- og sikkerhetsarbeid, jf. § 3-1, i samarbeid med arbeidstakerne og deres tillitsvalgte. (3) Rutinene skal ikke begrense arbeidstakers rett til å varsle. (4) Rutinene skal være skriftlige og minst inneholde a. en oppfordring til å varsle om kritikkverdige forhold b. fremgangsmåte for varsling c. fremgangsmåte for arbeidsgivers saksbehandling ved mottak, behandling og oppfølging av varsling. (5) Rutinene skal være lett tilgjengelig for alle arbeidstakere i virksomheten. "
2 A-7,"(1) Når tilsynsmyndigheter eller andre offentlige myndigheter mottar et eksternt varsel om kritikkverdige forhold, plikter enhver som utfører arbeid eller tjeneste for mottakerorganet, å hindre at andre får kjennskap til arbeidstakers navn eller andre identifiserende opplysninger om arbeidstaker. (2) Taushetsplikten gjelder også overfor sakens parter og deres representanter. Forvaltningsloven §§ 13 til 13 e og 13 g gjelder ellers tilsvarende. "
2 A-8,Tvister om brudd på forbudet mot gjengjeldelse etter § 2 A-4 kan bringes inn for Diskrimineringsnemnda. Dette gjelder likevel ikke saker om oppsigelse eller avskjed. De nærmere regler om Diskrimineringsnemndas myndighet og saksbehandling mv. følger av diskrimineringsombudsloven. 
3-1,"(1) For å sikre at hensynet til arbeidstakers helse, miljø og sikkerhet blir ivaretatt, skal arbeidsgiver sørge for at det utføres systematisk helse-, miljø- og sikkerhetsarbeid på alle plan i virksomheten. Dette skal gjøres i samarbeid med arbeidstakerne og deres tillitsvalgte. (2) Systematisk helse-, miljø- og sikkerhetsarbeid innebærer at arbeidsgiver skal: a. fastsette mål for helse, miljø og sikkerhet, b. ha oversikt over virksomhetens organisasjon, herunder hvordan ansvar, oppgaver og myndighet for arbeidet med helse, miljø og sikkerhet er fordelt, c. kartlegge farer og problemer og på denne bakgrunn vurdere risikoforholdene i virksomheten, utarbeide planer og iverksette tiltak for å redusere risikoen, d. under planlegging og gjennomføring av endringer i virksomheten, vurdere om arbeidsmiljøet vil være i samsvar med lovens krav, og iverksette de nødvendige tiltak, e. iverksette rutiner for å avdekke, rette opp og forebygge overtredelser av krav fastsatt i eller i medhold av denne lov, f. sørge for systematisk arbeid med forebygging og oppfølging av sykefravær, g. sørge for løpende kontroll med arbeidsmiljøet og arbeidstakernes helse når risikoforholdene i virksomheten tilsier det, jf. bokstav c, h. foreta systematisk overvåking og gjennomgang av det systematiske helse-, miljø- og sikkerhetsarbeidet for å sikre at det fungerer som forutsatt. (3) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av kravene i denne paragraf, herunder om krav til dokumentasjon av det systematiske helse-, miljø- og sikkerhetsarbeidet. "
3-2,"(1) For å ivareta sikkerheten på arbeidsplassen skal arbeidsgiver sørge for: a. at arbeidstaker gjøres kjent med ulykkes- og helsefarer som kan være forbundet med arbeidet, og at arbeidstaker får den opplæring, øvelse og instruksjon som er nødvendig, b. at arbeidstaker som har til oppgave å lede eller kontrollere andre arbeidstakere har nødvendig kompetanse til å føre kontroll med at arbeidet blir utført på en helse- og sikkerhetsmessig forsvarlig måte, c. sakkyndig bistand når dette er nødvendig for å gjennomføre lovens krav. (2) Når det ikke på annen måte kan tas forholdsregler for å oppnå tilstrekkelig vern om liv eller helse, skal arbeidsgiver sørge for at tilfredsstillende personlig verneutstyr stilles til arbeidstakers rådighet, at arbeidstaker gis opplæring i bruken av utstyret og at det tas i bruk. (3) Hvis det skal utføres arbeid som kan innebære særlig fare for liv eller helse, skal det utarbeides en skriftlig instruks om hvordan arbeidet skal utføres og hvilke sikkerhetstiltak som skal iverksettes. (4) Departementet kan gi forskrift om gjennomføringen av bestemmelsene i denne paragraf. Departementet kan også i forskrift gi nærmere bestemmelser om personlig verneutstyr, herunder om: a. utforming, merking mv. b. bruk, vedlikehold mv. c. prøving, sertifisering og godkjenning d. godkjenning av organer som skal utøve kontroll knyttet til produksjon av personlig verneutstyr. Departementet kan i forskrift fastsette at reglene om personlig verneutstyr også skal gjelde for produsent, importør og leverandør.  "
3-3,"(1) Arbeidsgiver plikter å knytte virksomheten til en bedriftshelsetjeneste godkjent av Arbeidstilsynet når risikoforholdene i virksomheten tilsier det. Vurderingen av om slik plikt foreligger skal foretas som ledd i gjennomføringen av det systematiske helse-, miljø- og sikkerhetsarbeidet. (2) Bedriftshelsetjenesten skal bistå arbeidsgiver, arbeidstakerne, arbeidsmiljøutvalg og verneombud med å skape et trygt arbeidsmiljø som fremmer god arbeidshelse. (3) Bedriftshelsetjenesten skal ha en fri og uavhengig stilling i arbeidsmiljøspørsmål. (4) Departementet kan i forskrift gi nærmere bestemmelser om når og i hvilken utstrekning arbeidsgiver plikter å knytte til seg bedriftshelsetjeneste, om hvilke faglige krav som skal stilles til tjenesten og om hvilke oppgaver den skal utføre. (5) Departementet kan i forskrift gi bestemmelser om at bedriftshelsetjeneste etter denne paragraf må godkjennes av Arbeidstilsynet og om det nærmere innholdet i en slik godkjenningsordning. Endret ved lover 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822), 17 juni 2022 nr. 42 (i kraft 1 jan 2023). "
3-4,"Arbeidsgiver skal, i tilknytning til det systematiske helse-, miljø- og sikkerhetsarbeidet, vurdere tiltak for å fremme fysisk aktivitet blant arbeidstakerne. "
3-5,"(1) Arbeidsgiver skal gjennomgå opplæring i helse-, miljø- og sikkerhetsarbeid. (2) Departementet kan i forskrift gi nærmere krav til opplæringen. "
3-6,Empty
4-1,"(1) Arbeidsmiljøet i virksomheten skal være fullt forsvarlig ut fra en enkeltvis og samlet vurdering av faktorer i arbeidsmiljøet som kan innvirke på arbeidstakernes fysiske og psykiske helse og velferd. Standarden for sikkerhet, helse og arbeidsmiljø skal til enhver tid utvikles og forbedres i samsvar med utviklingen i samfunnet. (2) Ved planlegging og utforming av arbeidet skal det legges vekt på å forebygge skader og sykdommer. Arbeidets organisering, tilrettelegging og ledelse, arbeidstidsordninger, lønnssystemer, herunder bruk av prestasjonslønn, teknologi mv. skal være slik at arbeidstakerne ikke utsettes for uheldige fysiske eller psykiske belastninger og slik at sikkerhetshensyn ivaretas. (3) Det skal vurderes om det er særlig risiko knyttet til alenearbeid i virksomheten. Tiltak som er nødvendig for å forebygge og redusere eventuell risiko ved alenearbeid skal iverksettes, slik at lovens krav til et fullt forsvarlig arbeidsmiljø ivaretas. (4) Virksomheten skal innrettes for arbeidstakere av begge kjønn. (5) Atkomstveier, sanitæranlegg, arbeidsutstyr mv. skal så langt det er mulig og rimelig være utformet og innrettet slik at arbeidstakere med nedsatt funksjonsevne kan arbeide i virksomheten. (6) Departementet kan gi forskrift om begrensning i adgangen til å sysselsette visse grupper arbeidstakere som i særlig grad kan være utsatt for ulykkes- eller helsefare og om omplassering av slike arbeidstakere. (7) Departementet kan gi forskrift som pålegger bruk av HMS-kort for arbeidstakere innenfor bransjer der det er nødvendig eller hensiktsmessig for å ivareta arbeidstakernes helse, miljø og sikkerhet og om oversiktslister over hvem som til enhver tid er sysselsatt på arbeidsplassen. Etter pålegg fra departementet plikter offentlige myndigheter uten hinder av taushetsplikt å gi utsteder av HMS-kort alle opplysninger fra offentlige registre som er nødvendige for utstedelse av HMS-kort. (8) Når hensynet til helse, miljø og sikkerhet tilsier det, kan departementet i forskrift gi bestemmelser om at virksomheter som tilbyr renholdstjenester eller tjenester i forbindelse med vedlikehold og reparasjon av motorvogn, må godkjennes av Arbeidstilsynet, og om det nærmere innholdet i en slik godkjenningsordning. Når det stilles krav om slik godkjenning, vil det være ulovlig å benytte tjenester fra virksomheter uten godkjenning. Endret ved lover 21 des 2005 nr. 121 (ikr. 1 jan 2006), 2 9 juni 2007 nr. 42 (ikr. 1 nov 2007 iflg. res. 12 okt 2007 nr. 1140), 20 juni 2008 nr. 42 (ikr. 1 jan 2009 iflg. res. 20 juni 2008 nr. 631), 19 juni 2009 nr. 39 (ikr. 1 jan 2010 iflg. res. 19 juni 2009 nr. 822), 16 des 2011 nr. 58, 18 des 2015 nr. 103, 11 juni 2021 nr. 59 (ikr. 1 jan 2022 iflg. res. 11 juni 2021 nr. 1872). "
4-2,"(1) Arbeidstakerne og deres tillitsvalgte skal holdes løpende informert om systemer som nyttes ved planlegging og gjennomføring av arbeidet. De skal gis nødvendig opplæring for å sette seg inn i systemene, og de skal medvirke ved utformingen av dem. (2) I utformingen av den enkeltes arbeidssituasjon skal: a. det legges til rette for at arbeidstaker gis mulighet for faglig og personlig utvikling gjennom sitt arbeid, b. arbeidet organiseres og tilrettelegges under hensyn til den enkelte arbeidstakers arbeidsevne, kyndighet, alder og øvrige forutsetninger, c. det legges vekt på å gi arbeidstaker mulighet til selvbestemmelse, innflytelse og faglig ansvar, d. arbeidstaker så langt som mulig gis mulighet til variasjon og for å se sammenheng mellom enkeltoppgaver, e. det gis tilstrekkelig informasjon og opplæring slik at arbeidstaker er i stand til å utføre arbeidet når det skjer endringer som berører vedkommendes arbeidssituasjon. (3) Under omstillingsprosesser som medfører endring av betydning for arbeidstakernes arbeidssituasjon, skal arbeidsgiver sørge for den informasjon, medvirkning og kompetanseutvikling som er nødvendig for å ivareta lovens krav til et fullt forsvarlig arbeidsmiljø. (4) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av kravene i denne paragraf. "
4-3,"(1) Arbeidet skal legges til rette slik at arbeidstakers integritet og verdighet ivaretas. (2) Arbeidet skal søkes utformet slik at det gir mulighet for kontakt og kommunikasjon med andre arbeidstakere i virksomheten. (3) Arbeidstaker skal ikke utsettes for trakassering eller annen utilbørlig opptreden. (4) Arbeidstaker skal, så langt det er mulig, beskyttes mot vold, trusler og uheldige belastninger som følge av kontakt med andre. (5) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av kravene i denne paragraf. Endres ved lov 16 juni 2023 nr. 37 (i kraft 1 jan 2024 iflg. res. 16 juni 2023 nr. 943). "
4-4,"(1) Fysiske arbeidsmiljøfaktorer som bygnings- og utstyrsmessige forhold, inneklima, lysforhold, støy, stråling o.l. skal være fullt forsvarlig ut fra hensynet til arbeidstakernes helse, miljø, sikkerhet og velferd. (2) Arbeidsplassen skal innredes og utformes slik at arbeidstaker unngår uheldige fysiske belastninger. Nødvendige hjelpemidler skal stilles til arbeidstakers disposisjon. Det skal legges til rette for variasjon i arbeidet og for å unngå tunge løft og ensformig gjentakelsesarbeid. Ved oppstilling og bruk av maskiner og annet arbeidsutstyr skal det sørges for at arbeidstaker ikke blir utsatt for uheldige belastninger ved vibrasjon, ubekvem arbeidsstilling o.l. (3) Maskiner og annet arbeidsutstyr skal være konstruert og ha nødvendige verneinnretninger slik at arbeidstaker er vernet mot skader. (4) Innkvartering som arbeidsgiver stiller til rådighet for arbeidstaker skal være forsvarlig utført, innredet og vedlikeholdt. Eventuelle husordensregler skal fastsettes i samråd med representanter for arbeidstakerne. (5) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av kravene i denne paragraf og kan herunder bestemme at reglene skal gjelde for utleiere av lokaler o.l. Endret ved lov 21 des 2005 nr. 121 (ikr. 1 jan 2006). "
4-5,"(1) Ved håndtering av kjemikalier eller biologisk materiale skal arbeidsmiljøet være tilrettelagt slik at arbeidstaker er sikret mot ulykker, helseskader og særlig ubehag. Kjemikalier og biologisk materiale skal fremstilles, pakkes, brukes og oppbevares slik at arbeidstaker ikke utsettes for helsefare. (2) Kjemikalier og biologisk materiale som kan innebære helsefare, skal ikke brukes dersom de kan erstattes med andre eller med en annen prosess som er mindre farlig for arbeidstakerne. (3) Virksomheten skal ha nødvendige rutiner og utstyr for å hindre eller motvirke helseskader på grunn av kjemikalier eller biologisk materiale. (4) Virksomheten skal føre kartotek over farlige kjemikalier og biologisk materiale. Kartoteket skal blant annet opplyse om fysikalske, kjemiske og helseskadelige egenskaper, forebyggende vernetiltak og førstehjelpsbehandling. Beholdere og emballasje for kjemikalier og biologisk materiale skal være tydelig merket med navn, sammensetning og advarsel på norsk. (5) Arbeidstilsynet kan i det enkelte tilfelle helt eller delvis gjøre unntak fra reglene i denne paragraf i forbindelse med forsknings- og analysearbeid e.l. (6) Departementet kan i forskrift gi nærmere bestemmelser om gjennomføringen av kravene i denne paragraf, og kan herunder bestemme at det skal føres register over arbeidstakere som eksponeres for bestemte kjemikalier eller biologisk materiale. (7) Departementet kan i forskrift gi nærmere bestemmelser om bruk, registrering, vurdering, godkjennelse, rapportering, informasjon, begrensning og annen behandling av kjemikalier. Endret ved lov 5 des 2008 nr. 82 (ikr. 1 jan 2009 iflg. res. 5 des 2008 nr. 1284). "
